,,,,消 防 署 数,,消防団・分団数,,消防ポンプ自動車等現有数,,消防水利数,,消防吏員数,,消防機関出動回数,,火災のための消防機関,,火災出火件数,,建物火災出火件数,,都,,,,,火災死傷者数,,火災死傷者数,,建物火災損害額,,建物火災損害額,,立体横断施設数,,横断歩道数,,信号機設置数,,交通事故発生件数,,交通事故発生件数,,都,,,,,交通事故死傷者数,,交通事故死者数,,道路交通法違反検挙件数,,警察署・交番・駐在所数,,警 察 官 数,,刑法犯認知件数,,窃盗犯認知件数,,刑法犯検挙率,,窃盗犯検挙率,,都,,,,,災害被害額,,不慮の事故による死亡者数,,公害苦情件数,,ばい煙発生施設数,,一般粉じん発生施設数,,水質汚濁防止法上の,,民間生命保険保有契約件数,,民間生命保険保険金額,,民間生命保険保険金額,,都,,,,,火災保険住宅物件・,,火災保険住宅物件・,,
33,岡山県,Okayama-ken,,4.4,27,21.7,30,114.3,18,"2,487.9",20,124.6,33,"2,600.4",27,91.3,7,35.7,26,19.6,17,33,33,岡 山 県,Okayama-ken,,6.44,26,32.9,32,647,24,330.4,30,9.87,27,542.7,41,106.1,41,384.6,21,553.1,10,33,33,岡 山 県,Okayama-ken,,664.7,10,4.5,18,66.9,8,14.3,13,1.83,21,8.94,16,6.58,13,34.3,31,27.4,38,33,33,岡 山 県,Okayama-ken,,350,44,36.7,23,37.2,24,"3,903",22,"2,632",7,"5,075",23,"1,429.5",23,535.3,16,"1,902.4",20,33,33,岡 山 県,Okayama-ken,,116.1,34,80.1,28,
34,広島県,Hiroshima-ken,,5.5,17,25.0,19,89.9,29,"2,773.5",10,126.2,31,"3,089.7",19,72.1,17,30.8,38,17.2,38,34,34,広 島 県,Hiroshima-ken,,6.25,27,36.3,20,495,39,287.6,34,11.50,19,928.8,17,141.2,24,435.0,18,392.1,23,34,34,広 島 県,Hiroshima-ken,,490.9,24,3.3,32,57.0,16,13.9,16,1.83,23,7.46,25,5.04,30,36.9,26,33.1,28,34,34,広 島 県,Hiroshima-ken,,"7,175",11,33.4,29,37.1,25,"4,646",14,"3,010",5,"6,131",15,"1,576.8",9,487.9,36,"1,805.9",26,34,34,広 島 県,Hiroshima-ken,,131.3,17,81.3,27,
35,山口県,Yamaguchi-ken,,4.5,26,22.9,26,112.5,20,"2,160.4",30,137.7,15,"3,739.3",10,54.5,37,35.5,27,18.7,27,35,35,山 口 県,Yamaguchi-ken,,6.89,21,36.9,18,669,22,358.1,24,18.05,9,860.7,21,173.9,18,383.5,22,407.7,19,35,35,山 口 県,Yamaguchi-ken,,513.8,21,4.6,17,41.0,36,14.2,15,2.22,7,6.18,36,4.11,40,43.1,15,42.1,12,35,35,山 口 県,Yamaguchi-ken,,"1,754",30,31.5,33,36.0,28,"3,223",25,"2,091",11,"4,144",32,"1,416.1",25,479.8,38,"1,593.7",43,35,35,山 口 県,Yamaguchi-ken,,125.4,24,86.4,17,
36,徳島県,Tokushima-ken,,4.6,24,44.9,3,114.9,17,"2,771.6",11,141.1,11,"1,605.2",46,59.3,33,30.4,39,18.8,24,36,36,徳 島 県,Tokushima-ken,,7.85,11,41.7,7,948,7,503.2,9,6.91,33,468.0,43,105.6,42,290.5,32,511.6,12,36,36,徳 島 県,Tokushima-ken,,642.0,11,3.6,29,38.4,37,14.3,14,2.04,13,6.08,38,4.29,38,45.7,11,47.0,7,36,36,徳 島 県,Tokushima-ken,,"12,262",6,43.1,7,39.8,22,"1,510",44,714,33,"4,399",28,"1,481.9",15,536.5,13,"1,965.0",16,36,36,徳 島 県,Tokushima-ken,,118.0,31,83.0,21,
37,香川県,Kagawa-ken,,4.7,23,24.9,20,88.9,30,"2,346.5",23,119.6,37,"2,126.3",39,71.4,20,35.7,25,19.6,18,37,37,香 川 県,Kagawa-ken,,6.93,19,35.4,22,876,11,447.7,13,15.60,12,967.6,15,209.1,9,877.1,7,801.3,4,37,37,香 川 県,Kagawa-ken,,983.6,6,5.3,7,46.0,28,15.5,11,1.87,19,8.97,14,6.01,18,39.2,21,37.3,18,37,37,香 川 県,Kagawa-ken,,"1,423",34,36.1,25,35.2,31,"1,997",35,953,27,"4,339",30,"1,560.7",10,574.2,3,"2,195.1",8,37,37,香 川 県,Kagawa-ken,,133.5,15,58.8,44,
38,愛媛県,Ehime-ken,,4.3,28,23.2,25,129.7,15,"2,546.2",18,129.6,25,"2,845.1",22,60.7,31,33.5,32,20.1,14,38,38,愛 媛 県,Ehime-ken,,9.03,2,44.8,4,"1,060",6,526.3,6,11.11,22,662.4,33,109.3,36,317.6,27,367.2,29,38,38,愛 媛 県,Ehime-ken,,436.0,31,5.6,6,21.3,47,11.5,26,1.76,33,9.03,12,6.58,12,33.3,32,32.2,29,38,38,愛 媛 県,Ehime-ken,,"3,708",18,42.6,9,50.0,10,"2,437",33,"1,065",24,"4,357",29,"1,318.2",37,524.6,23,"1,618.3",39,38,38,愛 媛 県,Ehime-ken,,109.7,38,76.7,32,
39,高知県,Kochi-ken,,4.7,22,27.4,12,135.9,12,"1,835.0",38,158.0,5,"2,225.1",36,72.0,18,43.2,10,22.9,2,39,39,高 知 県,Kochi-ken,,8.40,7,36.7,19,557,35,243.3,43,3.58,47,564.3,38,108.5,39,192.9,41,328.3,35,39,39,高 知 県,Kochi-ken,,379.3,36,4.1,22,46.0,27,10.3,30,2.25,5,7.74,22,5.66,23,34.9,28,33.3,27,39,39,高 知 県,Kochi-ken,,"52,977",1,52.9,1,29.1,39,"1,188",46,760,31,"2,903",43,"1,404.3",28,502.6,31,"1,611.3",40,39,39,高 知 県,Kochi-ken,,100.8,44,83.9,19,
40,福岡県,Fukuoka-ken,,6.1,11,28.5,11,49.3,40,"1,881.8",36,93.6,47,"2,173.3",37,51.3,41,29.6,40,17.2,37,40,40,福 岡 県,Fukuoka-ken,,4.66,46,27.0,44,471,40,273.3,38,10.01,26,"1,009.1",11,275.1,4,"1,101.7",4,778.9,5,40,40,福 岡 県,Fukuoka-ken,,"1,037.1",3,3.0,39,58.5,13,13.2,23,2.11,11,12.43,2,9.53,2,29.1,39,25.1,40,40,40,福 岡 県,Fukuoka-ken,,381,43,32.8,31,35.7,29,"6,729",10,"3,688",4,"5,468",20,"1,600.4",8,445.6,44,"1,652.8",35,40,40,福 岡 県,Fukuoka-ken,,134.9,13,58.6,45,
41,佐賀県,Saga-ken,,3.0,39,17.4,37,141.8,11,"1,975.8",34,130.5,23,"1,749.2",44,65.6,27,36.8,18,17.0,39,41,41,佐 賀 県,Saga-ken,,5.75,36,33.8,30,869,12,511.2,7,6.82,34,984.5,13,147.2,21,817.4,9,"1,027.9",1,41,41,佐 賀 県,Saga-ken,,"1,385.8",1,5.8,5,55.7,18,11.2,27,2.03,14,7.53,23,5.69,22,46.2,10,44.9,9,41,41,佐 賀 県,Saga-ken,,568,42,39.4,15,44.3,20,"1,351",45,454,45,"2,739",44,"1,452.9",19,513.6,27,"2,057.0",13,41,41,佐 賀 県,Saga-ken,,130.2,18,71.3,37,
42,長崎県,Nagasaki-ken,,5.7,16,43.7,4,111.7,21,"2,053.3",32,125.4,32,"3,822.7",8,57.9,35,33.0,35,17.7,31,42,42,長 崎 県,Nagasaki-ken,,6.78,22,38.4,14,586,32,331.5,28,4.95,40,619.6,36,132.6,28,359.7,24,444.5,15,42,42,長 崎 県,Nagasaki-ken,,569.8,14,3.3,36,74.8,1,13.3,20,2.24,6,4.34,45,2.82,45,55.4,5,56.3,4,42,42,長 崎 県,Nagasaki-ken,,"2,541",24,39.1,17,33.8,34,"1,923",36,999,26,"6,381",14,"1,414.7",26,497.5,33,"1,728.5",29,42,42,長 崎 県,Nagasaki-ken,,105.4,42,56.8,46,
43,熊本県,Kumamoto-ken,,3.4,33,23.5,23,162.8,6,"2,056.5",31,129.0,26,"2,262.2",35,72.5,16,33.2,34,18.9,23,43,43,熊 本 県,Kumamoto-ken,,5.85,35,31.0,39,575,33,304.2,32,4.77,41,602.3,37,108.7,38,293.9,31,371.8,26,43,43,熊 本 県,Kumamoto-ken,,482.4,25,4.4,19,58.0,14,7.0,39,1.72,34,6.06,39,4.51,37,47.9,7,45.2,8,43,43,熊 本 県,Kumamoto-ken,,"1,298",36,31.8,32,28.0,40,"2,733",29,813,30,"3,479",37,"1,424.9",24,483.9,37,"1,747.6",28,43,43,熊 本 県,Kumamoto-ken,,153.1,1,62.5,43,
44,大分県,Oita-ken,,3.8,30,24.8,21,125.4,16,"2,466.2",21,136.5,17,"2,554.7",30,56.4,36,36.0,24,18.7,26,44,44,大 分 県,Oita-ken,,5.72,37,30.6,40,510,38,273.0,39,5.39,38,727.6,28,120.4,31,283.7,33,421.6,17,44,44,大 分 県,Oita-ken,,555.6,15,3.9,26,69.6,4,8.8,35,1.76,32,4.60,43,3.38,42,44.4,12,39.9,14,44,44,大 分 県,Oita-ken,,"3,448",20,38.8,18,50.6,8,"1,896",37,"2,758",6,"5,574",17,"1,431.8",21,472.6,39,"1,622.0",38,44,44,大 分 県,Oita-ken,,113.6,36,82.9,22,
45,宮崎県,Miyazaki-ken,,2.4,44,9.4,46,134.0,13,"1,846.5",37,107.3,44,"1,657.5",45,81.7,8,43.8,7,21.3,11,45,45,宮 崎 県,Miyazaki-ken,,6.73,23,31.6,37,571,34,268.4,40,3.86,44,760.2,27,119.3,32,489.1,14,856.4,3,45,45,宮 崎 県,Miyazaki-ken,,997.2,4,4.7,15,53.5,19,9.4,32,1.82,26,6.57,33,4.98,33,34.9,27,30.7,32,45,45,宮 崎 県,Miyazaki-ken,,"4,947",14,40.4,12,55.1,5,"1,783",39,668,38,"3,867",33,"1,311.2",39,452.5,43,"1,415.2",45,45,45,宮 崎 県,Miyazaki-ken,,112.4,37,63.2,41,
46,鹿児島県,Kagoshima-ken,,3.5,32,20.6,32,114.1,19,"2,215.0",29,137.3,16,"3,759.5",9,76.0,13,42.1,12,22.4,4,46,46,鹿児島県,Kagoshima-ken,,7.25,15,32.4,36,796,16,356.1,25,4.28,42,544.1,40,111.1,34,310.8,29,487.4,13,46,46,鹿児島県,Kagoshima-ken,,583.6,13,4.7,16,52.8,20,6.7,40,1.83,22,4.92,41,3.73,41,37.4,24,33.3,26,46,46,鹿児島県,Kagoshima-ken,,"8,324",10,42.9,8,27.9,41,"2,845",28,"1,173",23,"5,477",19,"1,342.6",35,468.3,40,"1,429.9",44,46,46,鹿児島県,Kagoshima-ken,,106.6,40,68.3,39,
47,沖縄県,Okinawa-ken,,5.8,15,12.5,44,31.8,43,"1,045.4",47,109.0,42,"1,064.0",47,52.6,40,36.3,21,16.0,42,47,47,沖 縄 県,Okinawa-ken,,3.17,47,19.7,47,249,47,155.1,47,11.92,16,"1,485.0",5,261.1,6,774.9,10,392.1,24,47,47,沖 縄 県,Okinawa-ken,,471.2,27,2.9,41,42.4,34,13.3,21,1.82,24,6.95,30,5.04,31,44.1,13,38.4,16,47,47,沖 縄 県,Okinawa-ken,,"4,811",15,20.0,45,35.2,30,"1,612",43,503,42,"1,383",47,869.5,47,522.0,24,"1,160.9",47,47,47,沖 縄 県,Okinawa-ken,,81.5,47,72.6,34,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
